板块,公司全称,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
创业板,东莞金太阳研磨股份有限公司,300606,金太阳,2/8/2017,"93,457,000","53,635,607",,,,0,0,华南,广东,东莞市,C 制造业,www.chinagoldensun.cn
创业板,广东拓斯达科技股份有限公司,300607,拓斯达,2/9/2017,"266,168,406","166,806,048",,,,0,0,华南,广东,东莞市,C 制造业,www.topstarltd.com
创业板,北京思特奇信息技术股份有限公司,300608,思特奇,2/13/2017,"157,651,712","121,698,633",,,,0,0,华北,北京,北京市,I 信息技术,www.si-tech.com.cn
创业板,汇纳科技股份有限公司,300609,汇纳科技,2/15/2017,"121,922,390","90,786,200",,,,0,0,华东,上海,上海市,I 信息技术,www.winnerinf.com
创业板,扬州晨化新材料股份有限公司,300610,晨化股份,2/13/2017,"150,673,000","110,629,831",,,,0,0,华东,江苏,扬州市,C 制造业,www. yzch.cc
创业板,浙江美力科技股份有限公司,300611,美力科技,2/20/2017,"178,950,550","121,732,750",,,,0,0,华东,浙江,绍兴市,C 制造业,www.china-springs.com
创业板,宣亚国际营销科技（北京）股份有限公司,300612,宣亚国际,2/15/2017,"162,000,000","100,012,444",,,,0,0,华北,北京,北京市,L 商务服务,www.shunyagroup.com
创业板,上海富瀚微电子股份有限公司,300613,富瀚微,2/20/2017,"80,000,640","75,411,990",,,,0,0,华东,上海,上海市,I 信息技术,www.fullhan.com
创业板,深圳市欣天科技股份有限公司,300615,欣天科技,2/15/2017,"187,200,000","87,099,188",,,,0,0,华南,广东,深圳市,C 制造业,www.xdc-industries.com
创业板,广州尚品宅配家居股份有限公司,300616,尚品宅配,3/7/2017,"198,675,000","130,125,262",,,,0,0,华南,广东,广州市,C 制造业,www.spzp.com
创业板,江苏安靠智能输电工程科技股份有限公司,300617,安靠智电,2/28/2017,"129,343,605","65,061,905",,,,0,0,华东,江苏,常州市,C 制造业,www.ankura.com.cn
创业板,南京寒锐钴业股份有限公司,300618,寒锐钴业,3/6/2017,"302,925,297","187,535,328",,,,0,0,华东,江苏,南京市,C 制造业,www.hrcobalt.com
创业板,佛山市金银河智能装备股份有限公司,300619,金银河,3/1/2017,"74,683,598","56,578,651",,,,0,0,华南,广东,佛山市,C 制造业,www.goldenyh.com
创业板,珠海光库科技股份有限公司,300620,光库科技,3/10/2017,"91,628,000","89,463,175",,,,0,0,华南,广东,珠海市,C 制造业,www.afrlaser.com
创业板,深圳市维业装饰集团股份有限公司,300621,维业股份,3/16/2017,"208,108,000","192,182,010",,,,0,0,华南,广东,深圳市,E 建筑业,www.szweiye.com
创业板,博士眼镜连锁股份有限公司,300622,博士眼镜,3/15/2017,"170,931,597","104,275,042",,,,0,0,华南,广东,深圳市,F 批发零售,www.doctorglasses.com.cn
创业板,江苏捷捷微电子股份有限公司,300623,捷捷微电,3/14/2017,"491,002,199","356,721,133",,,,0,0,华东,江苏,南通市,C 制造业,www.jjwdz.com
创业板,万兴科技集团股份有限公司,300624,万兴科技,1/18/2018,"129,947,040","79,868,656",,,,0,0,西南,西藏,拉萨市,I 信息技术,www.wondershare.cn
创业板,广东三雄极光照明股份有限公司,300625,三雄极光,3/17/2017,"280,000,000","138,395,802",,,,0,0,华南,广东,广州市,C 制造业,www.pak.com.cn
创业板,华瑞电器股份有限公司,300626,华瑞股份,3/20/2017,"180,000,000","121,105,500",,,,0,0,华东,浙江,宁波市,C 制造业,www.china-commutator.com
创业板,上海华测导航技术股份有限公司,300627,华测导航,3/21/2017,"341,432,028","262,810,752",,,,0,0,华东,上海,上海市,C 制造业,www.huace.cn
创业板,厦门亿联网络技术股份有限公司,300628,亿联网络,3/17/2017,"902,487,540","478,286,978",,,,0,0,华东,福建,厦门市,C 制造业,www.yealink.com.cn
创业板,广东新劲刚新材料科技股份有限公司,300629,新劲刚,3/24/2017,"131,526,341","81,888,389",,,,0,0,华南,广东,佛山市,C 制造业,www.king-strong.com
创业板,海南普利制药股份有限公司,300630,普利制药,3/28/2017,"436,989,279","321,326,853",,,,0,0,华南,海南,海口市,C 制造业,www.hnpoly.com
创业板,江苏久吾高科技股份有限公司,300631,久吾高科,3/23/2017,"108,623,996","106,121,246",,,,0,0,华东,江苏,南京市,C 制造业,www.jiuwu.com
创业板,厦门光莆电子股份有限公司,300632,光莆股份,4/6/2017,"307,226,243","130,990,518",,,,0,0,华东,福建,厦门市,C 制造业,www.goproled.cn
