"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年3月6日","41.28","46.09","46.38","41.05","1.28M","-10.07%"
"2020年3月5日","45.90","47.13","47.57","45.65","704.59K","-1.88%"
"2020年3月4日","46.78","46.94","48.41","46.65","745.86K","-0.85%"
"2020年3月3日","47.18","47.72","48.66","46.47","1.01M","0.92%"
"2020年3月2日","46.75","43.70","47.56","43.32","949.47K","4.45%"
"2020年2月28日","44.76","46.49","47.03","43.85","1.10M","-4.95%"
"2020年2月27日","47.09","48.63","48.78","45.88","1.01M","-3.37%"
"2020年2月26日","48.73","50.08","50.44","48.30","884.48K","-2.34%"
"2020年2月25日","49.90","51.37","52.02","49.69","764.99K","-2.97%"
"2020年2月24日","51.43","52.60","52.64","50.45","765.52K","-3.65%"
"2020年2月21日","53.38","53.74","53.86","52.55","707.56K","-0.74%"
"2020年2月20日","53.78","53.50","54.50","53.22","30.67K","0.92%"
"2020年2月19日","53.29","52.12","53.66","51.93","113.68K","2.38%"
"2020年2月18日","52.05","52.23","52.41","50.88","221.77K","-0.29%"
"2020年2月17日","52.20","52.34","52.59","52.05","-","-0.31%"
"2020年2月16日","52.36","52.45","52.63","52.34","-","0.60%"
"2020年2月14日","52.05","51.51","52.34","51.32","607.34K","1.23%"
"2020年2月13日","51.42","51.72","51.96","50.60","745.40K","0.49%"
"2020年2月12日","51.17","49.96","51.73","49.95","795.26K","2.46%"
"2020年2月11日","49.94","49.61","50.69","49.58","725.73K","0.75%"
"2020年2月10日","49.57","50.12","50.49","49.42","715.89K","-1.49%"
"2020年2月7日","50.32","51.11","51.48","50.09","768.35K","-1.24%"
"2020年2月6日","50.95","51.17","52.20","50.24","750.66K","0.39%"
"2020年2月5日","50.75","49.51","51.88","49.47","887.95K","2.30%"
"2020年2月4日","49.61","49.94","51.55","49.31","859.36K","-1.00%"
"2020年2月3日","50.11","51.01","51.97","49.80","876.04K","-2.81%"
"2020年1月31日","51.56","52.92","53.36","50.97","827.91K","-1.11%"
"2020年1月30日","52.14","53.09","53.20","51.66","720.12K","-2.23%"
"2020年1月29日","53.33","53.97","54.37","52.81","624.98K","-0.28%"
"2020年1月28日","53.48","52.77","54.06","52.68","633.96K","0.64%"
"2020年1月27日","53.14","53.70","53.71","52.13","712.88K","-1.94%"
"2020年1月24日","54.19","55.69","55.95","53.85","586.20K","-2.52%"
"2020年1月23日","55.59","56.11","56.27","54.77","704.00K","-2.03%"
"2020年1月22日","56.74","58.26","58.38","56.03","620.12K","-2.74%"
"2020年1月21日","58.34","59.17","59.73","57.68","50.18K","-0.66%"
"2020年1月20日","58.73","59.28","59.32","58.56","-","-0.91%"
"2020年1月19日","59.27","59.36","59.66","59.20","-","1.25%"
"2020年1月17日","58.54","58.59","58.98","58.27","122.56K","0.03%"
"2020年1月16日","58.52","58.10","58.87","57.56","182.87K","1.23%"
"2020年1月15日","57.81","58.20","58.36","57.36","433.17K","-0.72%"
"2020年1月14日","58.23","58.03","58.72","57.72","507.71K","0.26%"
"2020年1月13日","58.08","59.04","59.27","57.91","584.00K","-1.63%"
"2020年1月10日","59.04","59.61","59.78","58.85","596.19K","-0.87%"
"2020年1月9日","59.56","59.99","60.31","58.66","750.93K","-0.08%"
"2020年1月8日","59.61","62.84","65.65","59.15","1.21M","-4.93%"
"2020年1月7日","62.70","62.91","63.15","62.11","582.65K","-0.90%"
"2020年1月6日","63.27","63.71","64.72","62.64","724.24K","0.35%"
"2020年1月3日","63.05","61.18","64.09","61.13","885.86K","3.06%"
"2020年1月2日","61.18","61.60","61.60","60.64","486.87K","-0.24%"
"2020年1月1日","61.33","61.52","61.54","61.33","-","0.44%"
"2019年12月31日","61.06","61.68","61.88","60.63","494.54K","-1.01%"
"2019年12月30日","61.68","61.71","62.34","61.09","427.15K","-0.06%"
"2019年12月27日","61.72","61.73","61.97","61.24","351.90K","0.06%"
"2019年12月26日","61.68","61.20","61.83","61.06","265.09K","0.80%"
"2019年12月25日","61.19","61.45","61.52","61.17","-","0.13%"
"2019年12月24日","61.11","60.63","61.16","60.47","204.54K","0.97%"
"2019年12月23日","60.52","60.41","60.77","60.10","314.71K","0.13%"
"2019年12月20日","60.44","61.11","61.20","60.02","552.52K","-1.27%"
"2019年12月19日","61.22","60.86","61.47","60.79","35.46K","0.48%"
"2019年12月18日","60.93","60.55","61.18","60.32","131.07K","-0.02%"
"2019年12月17日","60.94","60.23","61.06","60.03","163.74K","1.21%"
"2019年12月16日","60.21","59.87","60.34","59.71","347.40K","0.23%"
"2019年12月13日","60.07","59.36","60.48","59.27","512.29K","1.50%"
"2019年12月12日","59.18","58.88","59.72","58.75","530.85K","0.71%"
"2019年12月11日","58.76","59.06","59.22","58.11","589.65K","-0.81%"
"2019年12月10日","59.24","58.92","59.52","58.52","566.82K","0.37%"
"2019年12月9日","59.02","59.11","59.25","58.23","511.56K","-0.30%"
"2019年12月6日","59.20","58.32","59.85","57.70","679.61K","1.32%"
"2019年12月5日","58.43","58.36","59.12","58.10","649.46K","0.00%"
"2019年12月4日","58.43","56.43","58.66","56.28","760.54K","4.15%"
"2019年12月3日","56.10","55.96","56.80","55.35","560.55K","0.25%"
"2019年12月2日","55.96","55.47","56.67","55.42","616.42K","1.43%"
"2019年11月29日","55.17","58.13","58.30","55.02","718.72K","-5.01%"
"2019年11月28日","58.08","57.97","58.29","57.64","-","-0.05%"
"2019年11月27日","58.11","58.27","58.68","57.51","454.26K","-0.51%"
"2019年11月26日","58.41","57.92","58.56","57.76","443.82K","0.69%"
"2019年11月25日","58.01","57.92","58.15","57.21","420.64K","0.42%"
"2019年11月22日","57.77","58.31","58.74","57.50","508.24K","-1.38%"
"2019年11月21日","58.58","57.00","58.67","56.60","593.53K","2.57%"
"2019年11月20日","57.11","55.16","57.25","54.76","31.92K","3.44%"
"2019年11月19日","55.21","56.90","57.11","55.04","121.21K","-3.23%"
"2019年11月18日","57.05","57.88","58.09","56.55","159.33K","-1.16%"
"2019年11月15日","57.72","56.91","57.97","56.43","375.99K","1.67%"
"2019年11月14日","56.77","57.39","57.79","56.63","516.83K","-0.61%"
"2019年11月13日","57.12","56.79","57.53","56.20","547.64K","0.56%"
"2019年11月12日","56.80","56.89","57.55","56.54","586.57K","-0.11%"
"2019年11月11日","56.86","57.40","57.40","56.25","498.98K","-0.66%"
"2019年11月8日","57.24","57.08","57.48","55.76","636.94K","0.16%"
