"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年9月30日","1,895.50","1,903.20","1,908.20","1,885.80","259.87K","-0.40%"
"2020年9月29日","1,903.20","1,886.40","1,904.80","1,880.80","217.80K","1.11%"
"2020年9月28日","1,882.30","1,862.70","1,888.20","1,851.10","235.92K","0.86%"
"2020年9月25日","1,866.30","1,872.70","1,879.30","1,854.10","230.86K","-0.56%"
"2020年9月24日","1,876.90","1,866.90","1,880.90","1,851.00","345.04K","0.45%"
"2020年9月23日","1,868.40","1,905.10","1,909.90","1,856.00","411.56K","-2.05%"
"2020年9月22日","1,907.60","1,918.10","1,925.50","1,898.90","282.71K","-0.16%"
"2020年9月21日","1,910.60","1,957.30","1,962.90","1,885.40","381.84K","-2.62%"
"2020年9月18日","1,962.10","1,951.10","1,968.20","1,951.10","174.77K","0.63%"
"2020年9月17日","1,949.90","1,967.60","1,969.30","1,938.20","273.14K","-1.05%"
"2020年9月16日","1,970.50","1,961.40","1,983.80","1,957.20","298.39K","0.22%"
"2020年9月15日","1,966.20","1,966.20","1,982.40","1,955.60","239.54K","0.13%"
"2020年9月14日","1,963.70","1,948.90","1,972.50","1,945.20","200.09K","0.81%"
"2020年9月11日","1,947.90","1,953.80","1,963.40","1,944.00","205.23K","-0.83%"
"2020年9月10日","1,964.30","1,955.30","1,975.20","1,948.60","271.48K","0.48%"
"2020年9月9日","1,954.90","1,939.40","1,959.70","1,926.30","227.18K","0.60%"
"2020年9月8日","1,943.20","1,938.00","1,948.30","1,911.70","416.01K","0.31%"
"2020年9月7日","1,937.10","1,940.70","1,947.40","1,930.45","-","-0.18%"
"2020年9月6日","1,940.65","1,941.90","1,944.30","1,937.65","-","0.33%"
"2020年9月4日","1,934.30","1,938.00","1,956.60","1,921.60","304.74K","-0.18%"
"2020年9月3日","1,937.80","1,948.90","1,956.60","1,927.20","303.03K","-0.35%"
"2020年9月2日","1,944.70","1,976.80","1,980.40","1,938.90","332.59K","-1.73%"
"2020年9月1日","1,978.90","1,973.70","2,001.20","1,969.20","304.89K","0.02%"
"2020年8月31日","1,978.60","1,973.90","1,985.80","1,962.30","245.11K","0.19%"
"2020年8月28日","1,974.90","1,937.50","1,983.00","1,928.20","334.10K","2.19%"
"2020年8月27日","1,932.60","1,963.00","1,987.00","1,914.70","467.17K","-1.02%"
"2020年8月26日","1,952.50","1,939.00","1,963.40","1,908.40","342.21K","1.53%"
